date,decimal_year,Julian_Day,Year,GHIsat,GHIg
2010-01-01,2010,1,2010,4.11176660142987,3.34543333333333
2010-01-03,2010.00547945205,3,2010,4.2252415503797,3.6297
2010-01-07,2010.01643835616,7,2010,4.40045372246063,3.76810833333333
2010-01-08,2010.01917808219,8,2010,4.20291659303555,3.74335
2010-01-09,2010.02191780822,9,2010,4.3160856972966,3.85470833333333
2010-01-10,2010.02465753425,10,2010,4.48223507591089,3.90931666666667
2010-01-15,2010.03835616438,15,2010,4.31226971953722,3.78545
2010-01-16,2010.04109589041,16,2010,4.56889268034829,3.95071666666667
2010-01-23,2010.0602739726,23,2010,4.82810081311136,3.81064166666667
2010-01-28,2010.07397260274,28,2010,5.01788565979551,4.26433333333333
2010-02-01,2010.08493150685,32,2010,5.10441588696422,4.44913333333333
2010-02-09,2010.10684931507,40,2010,5.02864690140006,4.55685
2010-02-10,2010.1095890411,41,2010,5.26313796714196,4.6204
2010-02-11,2010.11232876712,42,2010,5.55769004326494,4.71535
2010-02-16,2010.12602739726,47,2010,5.09584885578418,4.71423333333333
2010-02-20,2010.13698630137,51,2010,5.8879951742943,5.07198333333333
2010-03-04,2010.1698630137,63,2010,5.98791968016198,5.36841666666667
2010-03-06,2010.17534246575,65,2010,6.18715706166846,5.59535
2010-03-07,2010.17808219178,66,2010,6.61487466418538,5.966
2010-03-08,2010.18082191781,67,2010,6.6740384233451,5.9018
2010-03-12,2010.19178082192,71,2010,6.32619348420448,5.85080833333333
2010-03-13,2010.19452054795,72,2010,6.48510354515544,5.89393333333333
2010-03-15,2010.2,74,2010,5.07247232055647,5.11003333333333
2010-03-20,2010.21369863014,79,2010,7.22307157252704,6.58388333333333
2010-03-21,2010.21643835616,80,2010,7.3764079805672,6.66041666666667
2010-03-22,2010.21917808219,81,2010,7.30857177357583,6.59795
2010-03-24,2010.22465753425,83,2010,7.28765443475587,6.28471666666667
2010-03-28,2010.23561643836,87,2010,7.82339477587964,6.6632
2010-03-30,2010.24109589041,89,2010,7.83151007937408,6.57971666666667
2010-03-31,2010.24383561644,90,2010,8.01505183822001,7.11636666666667
2010-04-01,2010.24657534247,91,2010,7.19499362525917,6.58036666666667
2010-04-02,2010.24931506849,92,2010,7.31240053314272,6.60941666666667
2010-04-04,2010.25479452055,94,2010,7.47297965935945,6.43191666666667
2010-04-05,2010.25753424658,95,2010,7.86497506110253,7.14858333333333
2010-04-06,2010.2602739726,96,2010,7.96607356207098,6.6575
2010-04-07,2010.26301369863,97,2010,7.66497458578993,6.89323333333333
2010-04-09,2010.26849315068,99,2010,7.91066916179391,7.12878333333333
2010-04-10,2010.27123287671,100,2010,7.40250985205553,6.6987
2010-04-12,2010.27671232877,102,2010,8.01618955374508,7.14276666666667
2010-04-13,2010.27945205479,103,2010,8.36353546752958,7.28695
2010-04-14,2010.28219178082,104,2010,8.14104102445736,7.40683333333333
2010-04-15,2010.28493150685,105,2010,8.10495378828956,7.36211666666667
2010-04-17,2010.2904109589,107,2010,8.02801433370737,7.108875
